Original Cell Type Name,Standardized Celltype Name
cardiogenic_mesoderm_(C-ECs),cardiogenic_mesoderm_(C-ECs)
Cardiomyocyte,Cardiomyocyte
Cardiomyocyte_Heart,Cardiomyocyte_Heart
CaSki_Cervix,CaSki_Cervix
caudate_nucleus,caudate_nucleus
CClp1,CClp1
CCRF-CEM_T_Lymphocyte_Blood,CCRF-CEM_T_Lymphocyte_Blood
CD14_cell,CD14_Primary_Cells
CD14_Primary_Cells,CD14_Primary_Cells
CD15_Primary_Cells,CD15_Primary_Cells
CD19_Primary_Cells_Cord_BI,CD19_Primary_Cells_Cord_BI
CD19_Primary_Cells_Peripheral_,CD19_Primary_Cells_Peripheral_
CD20+,CD20+
CD3_Primary_Cells_Cord_BI,CD3_Primary_Cells_Cord_BI
CD3_Primary_Cells_Peripheral_,CD3_Primary_Cells_Peripheral_
CD34_Cultured_Cells,CD34_Primary_Cells
CD34_Primary_Cells,CD34_Primary_Cells
CD34+_Mobilized,CD34+_Mobilized
CD36_Cell,CD36_Cell
CD4_Cell,CD4_Primary_Cells
CD4_Memory_Primary_Cells,CD4_Memory_Primary_Cells
CD4_Naive_Primary_Cells,CD4_Naive_Primary_Cells
CD4+_CD25_CD45RA+_Naive_Primary_Cells,CD4+_CD25_CD45RA+_Naive_Primary_Cells
CD4+_CD25_CD45RO+_Memory_Primary_Cells,CD4+_CD25_CD45RO+_Memory_Primary_Cells
CD4+_CD25_IL17_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells,CD4+_CD25_IL17_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells,CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells
CD4+_CD25_Th_Primary_Cells,CD4+_CD25_Th_Primary_Cells
CD4+_CD25+_CD127_Treg_Primary_Cells,CD4+_CD25+_CD127_Treg_Primary_Cells
CD4+_CD25int_CD127+_Tmem_Primary_Cells,CD4+_CD25int_CD127+_Tmem_Primary_Cells
CD56_Primary_Cells,CD56_Primary_Cells
